State,County,ERS_Tiers,Samples_needed,County_area,Priority,Notes
North Carolina,Cleveland,Low,10,Throughout,1,
North Carolina,Cleveland,None,10,Throughout,2,
North Carolina,Gaston,None,10,Throughout,2,
North Carolina,Graham,High,10,Throughout,1,
North Carolina,Haywood,High,5,Northwestern,1,Along and around I-40
North Carolina,Jackson,High,10,Southeastern,1,Southeast of Highway 23
North Carolina,Lincoln,Low,10,Throughout,2,
North Carolina,Lincoln,None,10,Throughout,2,
North Carolina,Rutherford,Low,10,Northern,1,North of Highway 74
North Carolina,Swain,High,10,Northern,1,West of ORV zone
North Carolina,Transylvania,High,10,Throughout,1,
North Carolina,Transylvania,Low,10,Throughout,1,
North Carolina,Wilkes,Low,10,Throughout,1,
Ohio,Belmont,High,10,Eastern,1,East of Lloydsville
Ohio,Jefferson,High,10,Throughout,1,
Ohio,Knox,None,10,Throughout,2,
Ohio,Lorain,None,5,Western,2,West of Elyria
Ohio,Meigs,None,5,Throughout,2,
Ohio,Monroe,High,10,Throughout,1,
Ohio,Richland,None,10,Throughout,2,
Pennsylvania,Allegheny,High,60,Throughout,1,"In and around Pittsburgh; 20 urban, 20 suburban, and 20 rural"
Pennsylvania,Bedford,None,7,Throughout,2,
Pennsylvania,Cameron,None,9,Throughout,2,
Pennsylvania,Crawford,High,10,West and south,1,
Pennsylvania,Crawford,Low,10,East,1,East of Highway 6
Pennsylvania,Elk,None,9,Throughout,2,
Pennsylvania,Erie,Low,5,Eastern,1,East of highway 19
Pennsylvania,Forest,Low,5,Northeastern,1,
Pennsylvania,Forest,None,5,Northern,2,
Pennsylvania,Jefferson,Low,10,Throughout,2,
Pennsylvania,Jefferson,None,9,Throughout,2,
Pennsylvania,McKean,None,7,Throughout,2,
Pennsylvania,Potter,None,9,Throughout,2,
Pennsylvania,Somerset,Low,10,Throughout,1,
Pennsylvania,Somerset,None,10,Throughout,2,
Pennsylvania,Warren,Low,5,Southern,1,South of highway 6
Pennsylvania,Warren,None,5,Southern,2,South of highway 6
South Carolina,Abbeville,None,10,Throughout,1,
South Carolina,Anderson,Low,10,Throughout,1,
South Carolina,Greenville,Low,10,Throughout,1,
South Carolina,Laurens,None,10,Throughout,1,
South Carolina,Oconee,Low,10,Throughout,1,
South Carolina,Pickens,Low,10,Throughout,1,
South Carolina,Spartanburg,None,10,Throughout,1,
Tennessee,Bradley,High,10,Throughout,1,
Tennessee,Carter,High,10,Throughout,1,
Tennessee,Cocke,High,10,Throughout,1,
Tennessee,Greene,High,15,Throughout,1,
Tennessee,Hamblen,High,10,Throughout,1,
Tennessee,Hawkins,High,10,Throughout,1,
Tennessee,McMinn,High,15,Throughout,1,
Tennessee,Monroe,High,10,Throughout,1,
Tennessee,Polk,High,10,Throughout,1,
Tennessee,Sevier,High,10,Throughout,1,
Tennessee,Sullivan,High,10,Throughout,1,
Tennessee,Unicoi,High,10,Throughout,1,
Tennessee,Washington,High,10,Throughout,1,
Vermont,Addison,Low,10,Central and south,1,Souht of Bristol
Vermont,Bennington,None,10,Northwest and southeast,2,"5 in each corner, NW and SE"
Vermont,Essex,High,10,North and south,1, 5 north of Route 105 and 5 south near highway 2
Vermont,Orange,Low,8,East,1,East of I-89
Vermont,Orleans,High,5,West central,1,Along Highway 100
Vermont,Rutland,Low,10,Throughout,2,
Vermont,Rutland,None,5,Throughout,2,
Vermont,Washington,High,8,East and west ends,1,4 at each ed of the county
Vermont,Windham,None,8,North and south,2,Split samples among the northern and southern ends
Vermont,Windsor,Low,10,Throughout,2,
Vermont,Windsor,None,5,South and Northeast,2,5 in each area
Virginia,Alleghany,Low,5,Throughout,1,
Virginia,Amherst,None,10,Throughout,2,
Virginia,Bath,Low,10,Throughout,1,
Virginia,Bedford,None,7,Throughout,2,
Virginia,Botetourt,Low,10,Throughout,1,
Virginia,Buchanan,High,5,Throughout,1,
Virginia,Carroll,Low,10,Throughout,1,
Virginia,Craig,Low,5,Throughout,1,
Virginia,Dickenson,High,5,Throughout,1,
Virginia,Grayson,Low,10,Throughout,1,
Virginia,Highland,Low,5,Throughout,1,
Virginia,Lee,High,5,Throughout,1,
Virginia,Lee,None,5,Throughout,2,
Virginia,Patrick,Low,5,Throughout,1,
Virginia,Patrick,None,5,Throughout,2,
Virginia,Pulaski,Low,5,Throughout,1,
Virginia,Rockbridge,Low,5,Throughout,1,
West Virginia,Boone,High,10,Throughout,2,East of Highway 119
West Virginia,Boone,None,5,Throughout,2,
West Virginia,Cabell,None,10,Throughout,2,
West Virginia,Clay,High,5, ,1,
West Virginia,Grant,Low,10,Throughout,1,
West Virginia,Greenbrier,High,5,Western,1,West of highway 219 and north of I-64
West Virginia,Hampshire,None,10,Throughout,2,
West Virginia,Hardy,Low,10,Throughout,2,
West Virginia,Hardy,None,10,Throughout,2,
West Virginia,Kanawha,High,5,Northeastern,2,Northeast of I-64
West Virginia,Kanawha,None,10,Throughout,2,
West Virginia,Lincoln,None,10,Throughout,2,
West Virginia,Logan,High,10,Throughout,1,
West Virginia,Logan,None,5,Throughout,1,
West Virginia,Mason,None,10,Throughout,2,
West Virginia,McDowell,High,10,Throughout,1,
West Virginia,Mineral,Low,10,Throughout,1,
West Virginia,Mineral,None,10,Throughout,1,
West Virginia,Mingo,High,10,Throughout,1,
West Virginia,Mingo,None,10,Throughout,1,
West Virginia,Monongalia,High,5,Southwestern,1,
West Virginia,Morgan,None,10,Throughout,2,
West Virginia,Pendleton,Low,7,Along  and around highway 220,1,
West Virginia,Pocahontas,High,7,Throughout,1,
West Virginia,Pocahontas,Low,5,South ,1,
West Virginia,Putnam,None,5,Throughout,2,
West Virginia,Wayne,None,10,Throughout,2,
West Virginia,Webster,High,6,Throughout,1,
West Virginia,Wetzel,High,10,Throughout,1,
West Virginia,Wyoming,High,10,Throughout,1,
